Year,Primary_Type,Count,Mean_Temp
2012,BURGLARY,72,53
2012,ASSAULT,65,53
2012,THEFT,218,44.5
2012,NARCOTICS,132,44.5
2012,BATTERY,128,44.5
2012,CRIMINAL DAMAGE,101,44.5
2012,BURGLARY,65,44.5
2012,ASSAULT,57,44.5
2012,THEFT,199,44.5
2012,BATTERY,167,44.5
2012,CRIMINAL DAMAGE,130,44.5
2012,NARCOTICS,95,44.5
2012,ASSAULT,53,44.5
2012,BURGLARY,37,44.5
2012,BATTERY,192,47
2012,THEFT,139,47
2012,CRIMINAL DAMAGE,109,47
2012,NARCOTICS,102,47
2012,ASSAULT,50,47
2012,BURGLARY,29,47
2012,THEFT,199,49.5
2012,BATTERY,178,49.5
2012,NARCOTICS,89,49.5
2012,CRIMINAL DAMAGE,82,49.5
2012,BURGLARY,73,49.5
2012,ASSAULT,67,49.5
2012,THEFT,210,52
2012,BATTERY,146,52
2012,NARCOTICS,104,52
2012,CRIMINAL DAMAGE,99,52
2012,BURGLARY,65,52
2012,ASSAULT,60,52
2012,THEFT,216,53.5
2012,BATTERY,156,53.5
2012,CRIMINAL DAMAGE,108,53.5
2012,NARCOTICS,92,53.5
2012,BURGLARY,83,53.5
2012,ASSAULT,61,53.5
2012,THEFT,225,47
2012,BATTERY,143,47
2012,NARCOTICS,105,47
2012,CRIMINAL DAMAGE,99,47
2012,ASSAULT,62,47
2012,BURGLARY,54,47
2012,THEFT,219,44.5
2012,BATTERY,154,44.5
2012,CRIMINAL DAMAGE,110,44.5
2012,NARCOTICS,108,44.5
2012,BURGLARY,74,44.5
2012,ASSAULT,64,44.5
2012,THEFT,188,47.5
2012,BATTERY,173,47.5
2012,CRIMINAL DAMAGE,124,47.5
2012,NARCOTICS,94,47.5
2012,BURGLARY,53,47.5
2012,ASSAULT,43,47.5
2012,BATTERY,160,50
2012,THEFT,152,50
2012,CRIMINAL DAMAGE,110,50
2012,NARCOTICS,85,50
2012,BURGLARY,42,50
2012,ASSAULT,38,50
2012,THEFT,197,56
2012,BATTERY,170,56
2012,NARCOTICS,85,56
2012,CRIMINAL DAMAGE,79,56
2012,ASSAULT,58,56
2012,BURGLARY,55,56
2012,THEFT,260,57
2012,BATTERY,164,57
2012,NARCOTICS,108,57
2012,CRIMINAL DAMAGE,94,57
2012,BURGLARY,74,57
2012,ASSAULT,57,57
2012,BATTERY,210,69
2012,THEFT,205,69
2012,NARCOTICS,114,69
2012,CRIMINAL DAMAGE,108,69
2012,ASSAULT,76,69
2012,BURGLARY,51,69
2012,THEFT,200,76
2012,BATTERY,184,76
2012,NARCOTICS,121,76
2012,CRIMINAL DAMAGE,102,76
2012,ASSAULT,66,76
2012,BURGLARY,60,76
2012,BATTERY,217,64
2012,THEFT,216,64
2012,NARCOTICS,115,64
2012,CRIMINAL DAMAGE,97,64
2012,BURGLARY,67,64
2012,ASSAULT,61,64
2012,THEFT,216,56
2012,BATTERY,193,56
2012,NARCOTICS,107,56
2012,CRIMINAL DAMAGE,99,56
2012,ASSAULT,63,56
2012,BURGLARY,47,56
2012,BATTERY,192,60.5
2012,THEFT,158,60.5
2012,CRIMINAL DAMAGE,112,60.5
2012,NARCOTICS,83,60.5
2012,ASSAULT,57,60.5
2012,BURGLARY,46,60.5
2012,THEFT,222,58
2012,BATTERY,150,58
2012,NARCOTICS,102,58
2012,CRIMINAL DAMAGE,88,58
2012,ASSAULT,76,58
2012,BURGLARY,71,58
2012,THEFT,224,61
2012,BATTERY,173,61
2012,NARCOTICS,126,61
2012,CRIMINAL DAMAGE,109,61
2012,ASSAULT,78,61
2012,BURGLARY,63,61
2012,THEFT,211,53.5
2012,BATTERY,179,53.5
2012,NARCOTICS,116,53.5
2012,CRIMINAL DAMAGE,80,53.5
2012,ASSAULT,67,53.5
2012,BURGLARY,62,53.5
2012,THEFT,209,56.5
2012,BATTERY,141,56.5
2012,NARCOTICS,111,56.5
2012,CRIMINAL DAMAGE,81,56.5
2012,BURGLARY,66,56.5
2012,ASSAULT,55,56.5
2012,THEFT,207,60.5
2012,BATTERY,178,60.5
2012,NARCOTICS,121,60.5
2012,CRIMINAL DAMAGE,97,60.5
2012,BURGLARY,75,60.5
2012,ASSAULT,69,60.5
2012,THEFT,201,61
