Year,Primary Type,Count,Mean_Temp
2014,THEFT,236,66
2014,THEFT,204,69.5
2014,THEFT,196,69
2014,THEFT,198,71.5
2014,THEFT,250,73.5
2014,THEFT,208,72.5
2014,THEFT,172,74.5
2014,THEFT,157,77
2014,THEFT,165,72
2014,THEFT,175,71
2014,THEFT,191,71
2014,THEFT,211,74
2014,THEFT,192,73
2014,THEFT,163,75
2014,THEFT,201,74.5
2014,THEFT,170,65.5
2014,THEFT,209,69.5
2014,THEFT,208,64.5
2014,THEFT,196,65
2014,THEFT,215,72
2014,THEFT,210,67.5
2014,THEFT,190,74
2014,THEFT,186,77.5
2014,THEFT,190,76
2014,THEFT,167,74.5
2014,THEFT,204,79
2014,THEFT,172,77
2014,THEFT,170,79
2014,THEFT,186,79.5
2014,THEFT,205,78
2014,THEFT,153,74.5
2014,THEFT,193,72
2014,THEFT,197,78.5
2014,THEFT,197,76.5
2014,THEFT,179,76.5
2014,THEFT,217,76.5
2014,THEFT,190,74.5
2014,THEFT,149,72
2014,THEFT,184,78
2014,THEFT,215,76
2014,THEFT,198,67.5
2014,THEFT,170,67
2014,THEFT,156,66
2014,THEFT,188,71
2014,THEFT,140,68
2014,THEFT,160,53
2014,THEFT,182,49.5
2014,THEFT,146,50
2014,THEFT,154,53.5
2014,THEFT,177,56.5
2014,THEFT,177,56
2014,THEFT,191,59
2014,THEFT,189,61.5
2014,THEFT,203,65.5
2014,THEFT,173,70
2014,THEFT,194,60
2014,THEFT,176,56.5
2014,THEFT,224,62.5
2014,THEFT,190,65.5
2014,THEFT,168,65
2014,THEFT,204,65
2014,THEFT,201,66.5
2014,THEFT,196,65.5
2014,THEFT,185,68
2014,THEFT,186,52.5
2014,THEFT,211,59.5
2014,THEFT,190,67.5
2014,THEFT,174,54
2014,THEFT,155,41
2014,THEFT,145,46
2014,THEFT,157,51.5
2014,THEFT,189,57
2014,THEFT,184,54.5
2014,THEFT,159,52.5
2014,THEFT,192,48.5
2014,THEFT,181,47.5
2014,THEFT,187,50.5
2014,THEFT,150,61.5
2014,THEFT,183,58.5
2014,THEFT,196,52.5
2014,THEFT,172,53
2014,THEFT,210,55
2014,THEFT,179,43
2014,THEFT,191,43.5
2014,THEFT,175,55.5
2014,THEFT,173,49
2014,THEFT,190,45.5
2014,THEFT,181,47.5
2014,THEFT,174,59.5
2014,THEFT,175,60.5
2014,THEFT,153,53
2014,THEFT,176,64
2014,THEFT,190,56.5
2014,THEFT,207,42.5
2014,THEFT,179,41.5
2014,THEFT,180,40
2014,THEFT,201,36
2014,THEFT,149,38
2014,THEFT,143,52.5
2014,THEFT,193,52
2014,THEFT,147,47
2014,THEFT,144,44.5
2014,THEFT,180,36
2014,THEFT,160,41.5
2014,THEFT,143,43.5
2014,THEFT,157,51.5
2014,THEFT,157,44.5
2014,THEFT,123,27.5
2014,THEFT,165,26.5
2014,THEFT,168,24
2014,THEFT,186,24
2014,THEFT,117,24.5
2014,THEFT,132,16
2014,THEFT,140,14
2014,THEFT,143,24.5
2014,THEFT,131,20.5
2014,THEFT,168,21
2014,THEFT,167,42.5
2014,THEFT,141,50
2014,THEFT,129,36.5
2014,THEFT,172,22
2014,THEFT,185,23
2014,THEFT,84,21
2014,THEFT,117,26
2014,THEFT,161,40
2014,THEFT,135,37
2014,THEFT,169,21.5
